,Name of the Author,# of publication,Affiliation
4362,1, Yu H.-T.," Yu, H.-T., Department of Food Nutrition and Health Biotechnology, Asia University, 500, Lioufeng Rd., Wufeng, Taichung, 41354, Taiwan"
4363,1, Yu H.-Q.," Yu, H.-Q., Lab. of Environmental Engineering, School of Chemistry, Univ. of Sci. and Technol. of China, Hefei 230026, Anhui, China"
4364,1, Yu H.," Yu, H., State Key Laboratory of Microbial Resources, Institute of Microbiology, Chinese Academy of Sciences, Beijing, 100101, China, Department of Life Sciences, University of the Chinese Academy of Sciences, Beijing, 100049, China"
4365,1, Yu H.," Yu, H., Key Laboratory of Molecular Engineering of Polymers, Department of Macromolecular Science, Fudan University, Shanghai 200433, China"
4366,1, Yu H.," Yu, H., Key Laboratory of Advanced Textile Materials and Manufacturing Technology, Ministry of Education, Zhejiang Provincial Key Laboratory of Fiber Materials and Manufacturing Technology, Zhejiang Sci-Tech University, Xiasha Higher Education Park Avenue 2 No.928, Hangzhou, 310018, China, HUAFON GROUP CO., LTD, Kaifa Road 1688, Ruian Economic Development Zone, Wenzhou, 325000, China"
4367,1, Yu H.," Yu, H., Department of Civil and Environmental Engineering, William & Cloy Codiga Resource Recovery Center, Center for Sustainable Development & Global Competitiveness, Stanford University, Stanford, CA  94305-4020, United States"
4368,1, Yu G.," Yu, G., School of Environment, Beijing Key Laboratory for Emerging Organic Contaminants Control, State Key Joint Laboratory of Environment Simulation and Pollution Control (SKLESPC), Tsinghua University, Beijing, 100084, China, Research Institute for Environmental Innovation (Suzhou), Tsinghua, Building 16, 101 Business Park, No, 158 Jinfeng Road, New District, Suzhou, 215163, China"
4369,1, Yu G.," Yu, G., Food Science College, Northeast Agricultural University, 59 GongBin Road, XiangFang District, Harbin 150030, China"
4370,1, Yu F.," Yu, F., State Key Laboratory for Modification of Chemical Fibers and Polymer Materials, College of Chemistry, Chemical Engineering and Biotechnology, Donghua University, 2999 North Renmin Road, Shanghai, 201620, China"
4371,1, Yu F.," Yu, F., Shanghai Technical Service Platform for Pollution Control and Resource Utilization of Organic Wastes, Shanghai Key Laboratory of Atmospheric Particle Pollution and Prevention (LAP3), Department of Environmental Science and Engineering, Fudan University, Shanghai, 200438, China, Shanghai Institute of Pollution Control and Ecological Security, Shanghai, 200092, China"
4372,1, Yu F.," Yu, F., Dept. of Laboratory Animal Science, Peking Univ. Health Science Center, Beijing, China"
4373,1, Yu D.," Yu, D., Polymer Physics Laboratory, Changchun Inst. Appl. Chem., C., Changchun, China"
4374,1, Yu D.," Yu, D., Changchun Medical College, Changchun 130013, China"
4375,1, Yu B.," Yu, B., CAS Key Laboratory of Microbial Physiological and Metabolic Engineering, State Key Laboratory of Mycology, Institute of Microbiology, Chinese Academy of Sciences, Beijing, China"
4376,1, Youssef B.," Youssef, B., AMME-LECAP, EA4528, International Laboratory, Institut des Matériaux de Rouen, Université et INSA de Rouen, Avenue de l'Université, BP12, Saint Etienne du Rouvray Cedex, 76801, France"
4377,1, Yousefi K.," Yousefi, K., Department of Materials Science and Engineering, School of Engineering, Shiraz University, Shiraz, Iran"
4378,1, Youe W.-J.," Youe, W.-J., Forest Products Department, National Institute of Forest Science, Seoul, South Korea"
4379,1, You Z.," You, Z., College of Urban Construction, Nanjing Tech University, Nanjing, 211800, China"
4380,1, You Y.," You, Y., Department of Chemistry, Taizhou University, Zhejiang 317000, China"
4381,1, You X.," You, X., College of Chemistry and Material Science, Shandong Agricultural University, Taian, 271018, China"
4382,1, You S.K.," You, S.K., Department of Biotechnology, Korea University, Seoul, 02841, South Korea"
4383,1, You G.," You, G., Department of Integrative Bioscience and Biotechnology, Pohang University of Science and Technology (POSTECH), 77 Chengam-ro, Nam-gu, Pohang, 37673, South Korea"
4384,1, You B.," You, B., Department of Materials Science, Fudan University, Shanghai 200433, China"
4385,1, Yost M.J.," Yost, M.J., Department of Surgery, Medical University of South Carolina, Charleston, SC  29425, United States"
4386,1, Yoshizumi T.," Yoshizumi, T., McGowan Institute for Regenerative Medicine, University of Pittsburgh, United States, Dept. of Surgery, University of Pittsburgh, United States"
4387,1, Yoshizawa H.," Yoshizawa, H., Department of Material and Energy Science, Graduate School of Environmental Science, Okayama University, 3-1-1, Tsushima-naka, Okayama 700-8530, Japan"
4388,1, Yoshioka T.," Yoshioka, T., Graduate School of Environmental Studies, Tohoku University, 6-6-07 Aoba, Aramaki-Aza, Aoba-ku, Sendai, 980-8579, Japan"
4389,1, Yoshioka H.," Yoshioka, H., Institute for Environmental Sciences, University of Shizuoka, 52-1 Yada, Shizuoka 422-8526, Japan"
4390,1, Yoshinari M.," Yoshinari, M., Oral Health Science Center, Dept. of Dental Materials Science, Tokyo Dental College, Chiba, Japan"
4391,1, Yoshihashi T.," Yoshihashi, T., Japan International Research Center for Agricultural Sciences, Tsukuba, Ibaraki, Japan"
4392,1, Yoshida T.," Yoshida, T., Chemicals Evaluation and Research Institute, Kurume, Fukuoka, Japan"
4393,1, Yoshida O.," Yoshida, O., Thomas E. Starzl Transplantation Institute, University of Pittsburgh, United States"
4394,1, Yoshida H.," Yoshida, H., Center of Excellence Project, Department of Chemical Engineering, Osaka Prefecture University, Osaka 599-8531, Japan"
4395,1, Yoon Y.," Yoon, Y., Bioremediation Team, National Institute of Agricultural Science, 166 Nongsaengmyeong-ro, Iseo-myeon, Wanju-gun, Jeollabuk-do  55365, South Korea"
4396,1, Yoon W.S.," Yoon, W.S., School of Textiles, Yeungnam University, 214-1 Daedong, Kyongsan 712-749, South Korea"
4397,1, Yoon Sheen S.," Yoon Sheen, S., Department of Periodontology, College of Dentistry, Seoul National University, Seoul, South Korea"
4398,1, Yoon S.J.," Yoon, S.J., School of Earth and Environmental Sciences, Research Institute of Oceanography, Seoul National University, Seoul, South Korea"
4399,1, Yoon J.J.," Yoon, J.J., Department of Biological Sciences, Korea Adv. Inst. Sci. and Technol., Taejon 305-701, South Korea"
4400,1, Yoon J.-J.," Yoon, J.-J., Green & Sustainable Materials R&D Department, Korea Institute of Industrial Technology (KITECH), South Korea"
4401,1, Yoo Y.," Yoo, Y., Department of Industrial Chemistry, Kon Kuk University, 93-1 Mojin-dong, Kwangjin-ku, Seoul 143-701, South Korea"
4402,1, Yoo J.," Yoo, J., Center for Biomaterials, Korea Institute of Science and Technology (KIST), Seoul, 02792, South Korea"
4403,1, Yoo H.K.," Yoo, H.K., Department of Civil Engineering, Hanyang University, Ansan, South Korea"
4404,1, Yoo H.-Y.," Yoo, H.-Y., Department of Environment and Energy, Sejong University, 209 Neungdong-ro, Gwangjin-gu, Seoul  05006, South Korea, K-water Institute, 200 Sintanjin-Ro, Daedeok-Gu, Daejeon  34350, South Korea"
4405,1, Yoo D.," Yoo, D., School of Chemical and Biological Engineering, Seoul National University, Seoul, 08826, South Korea"
4406,1, Yoo C.," Yoo, C., Department of Civil and Environmental Engineering, Sungkyunkwan University, Suwon, 440-746, South Korea"
4407,1, Yong Q.," Yong, Q., International Innovation Center for Forest Chemicals and Materials and Jiangsu Co-Innovation Center for Efficient Processing and Utilization of Forest Resources, Nanjing Forestry University, Nanjing, 210037, China"
4408,1, Yong Choi C.," Yong Choi, C., School of Chemical Engineering, Seoul National University, Seoul 151-742, Republic of Korea, South Korea, Interdisc. Prog. Biochem. Eng. B., Seoul National University, Seoul 151-742, Republic of Korea, South Korea"
4409,1, Yonezawa I.," Yonezawa, I., Department of Orthopedic Surgery, School of Medicine, Juntendo University, 2-1-1 Hongo, Bunkyo-ku, Tokyo, 113-8421, Japan"
4410,1, Yoksan R.," Yoksan, R., Department of Packaging and Materials Technology, Faculty of Agro-Industry, Kasetsart University, 50 Ngamwongwan Rd., Ladyao, Chatuchak, Bangkok, 10900, Thailand, Center for Advanced Studies for Agriculture and Food, Kasetsart University Institute for Advanced Studies, Kasetsart University, Bangkok, 10900, Thailand"
4411,1, Yokoyama T.," Yokoyama, T., National Institute of Animal Health, Tsukuba, Ibaraki, Japan"
4412,1, Yogaswara D.," Yogaswara, D., Research Center for Oceanography, National Research and Innovation Agency, East Ancol, North Jakarta, Jakarta, 14430, Indonesia"
4413,1, Yiu P.H.," Yiu, P.H., Universiti Putra Malaysia, Nyabau Road, 97000 Bintulu, Sarawak, Malaysia"
4414,1, Yin Y.," Yin, Y., National Engineering Research Center for Biomaterials, Sichuan University, 29 Wangjiang Road, Chengdu, 610064, China, College Polymer Science and Engineering, Sichuan University, 29 Wangjiang Road, Chengdu, 610064, China"
4415,1, Yin X.," Yin, X., Physics Department, Shanghai Key Laboratory of High Temperature Superconductors, Shanghai University, Shanghai, 200444, China"
4416,1, Yin R.," Yin, R., Key Laboratory for Water Quality and Conservation of the Pearl River Delta, Ministry of Education, School of Environmental Science and Engineering, Guangzhou University, Guangzhou, 510006, China"
4417,1, Yin J.," Yin, J., Guangdong Provincial Key Laboratory of Atmospheric Environment and Pollution Control, School of Environment and Energy, South China University of Technology, Guangzhou Higher Education Mega Center, Guangzhou, 510006, China"
4418,1, Yin H.," Yin, H., Division Bioeconomy and Health, Rise Research Institutes of Sweden, Stockholm, SE-114 86, Sweden"
4419,1, Yin H.," Yin, H., College of Marine Ecology and Environment, Shanghai Ocean University, No 999, Huchenghuan Road, Shanghai, 201306, China"
4420,1, Yin G.," Yin, G., Key Laboratory of Geographic Information Science (Ministry of Education), East China Normal University, Shanghai, 200241, China, School of Geographic Sciences, East China Normal University, Shanghai, 200241, China"
4421,1, Yim E.K.F.," Yim, E.K.F., Department of Biomedical Engineering, Johns Hopkins University, Baltimore, MD 21205, United States"
4422,1, Yilmaz G.," Yilmaz, G., ATO B.V, Agrotechnological Research Institute, P.O. Box 17, 6700 AA Wageningen, Netherlands"
4423,1, Yilgor Huri P.," Yilgor Huri, P., Ankara University Faculty of Engineering, Department of Biomedical Engineering, Ankara, Turkey"
4424,1, Yi S.," Yi, S., Division of Resource Circulation, Korea Environment Institute, Sejong, 30147, South Korea"
4425,1, Yi C.," Yi, C., Key Laboratory of Green Processing and Functional Textile of New Textile Materials, Ministry of Education, Wuhan Textile University, Wuhan, Hubei 430073, China"
4426,1, Yeung K.W.K.," Yeung, K.W.K., Department of Orthopaedics and Traumatology, The University of Hong Kong, Pokfulam, Hong Kong, Hong Kong"
4427,1, Yeom S.-J.," Yeom, S.-J., School of Biological Sciences and Biotechnology, Graduate School, Chonnam National University, Yongbong-ro 77, Gwangju, 61186, South Korea, School of Biological Sciences and Technology, Chonnam National University, Yongbong-ro 77, Gwangju, 61186, South Korea"
4428,1, Yeoh W.M.," Yeoh, W.M., Department of Petrochemical Engineering, Universiti Tunku Abdul Rahman, Jalan Universiti, Bandar Barat, Perak, Kampar, 31900, Malaysia"
4429,1, Yeo C.C.J.," Yeo, C.C.J., Institute of Materials Research and Engineering, Agency for Science, Technology and Research, 2 Fusionopolis Way, Innovis, #08-03, Singapore, 138634, Singapore"
4430,1, Yen H.-W.," Yen, H.-W., Department of Chemical and Materials Engineering, Tunghai University, Taichung, Taiwan"
4431,1, Yel E.," Yel, E., Department of Environmental Engineering, Konya Technical University, Konya, Turkey"
4432,1, Yeganeh H.," Yeganeh, H., Iran Polymer and Petrochemical Institute, P.O. Box: 14965/115, Tehran, Iran"
4433,1, Ye Z.," Ye, Z., Key Laboratory of Ecology of Rare and Endangered Species and Environmental Protection (Guangxi Normal University), Ministry of Education, 15 Yucai Road, Guilin, 541004, China"
4434,1, Ye Z.," Ye, Z., Department of Chemical and Materials Engineering, Concordia University, Montréal, QC, Canada"
4435,1, Ye X.," Ye, X., School of Engineering Sciences in Chemistry, Biotechnology and Health, Department of Fibre and Polymer Technology, Kth Royal Institute of Technology, Stockholm, SE-100 44, Sweden"
4436,1, Ye R.," Ye, R., Department of Biosystems and Soil Science, University of Tennessee, 2506 E.J. Chapman Drive, Knoxville, TN 37996-4531, United States"
4437,1, Ye L.," Ye, L., Jiangsu Key Laboratory of Chemical Pollution Control and Resources Reuse, School of Environmental and Biological Engineering, Nanjing University of Science and Technology, Jiangsu, Nanjing, China"
4438,1, Ye L.," Ye, L., EcoTopia Science Institute, Nagoya University, Nagoya 464-8603, Japan"
4439,1, Ye J.," Ye, J., National Engineering Center for Tissue Reconstruction and Restoration, School of Materials Science and Engineering, South China University of Technology, Guangzhou, 510641, China"
4440,1, Ye C.," Ye, C., Department of Chemistry, Wuhan University, Wuhan 430072, China"
4441,1, Yañez J.M.," Yañez, J.M., Centro de Caracterización e Investigación en Materiales, Xochitepec, Morelos, Mexico"
4442,1, Yates S.R.," Yates, S.R., USDA-ARS, Soil Physics/Pesticides Res. Unit, U.S. Salinity Laboratory, Riverside, CA 92507, United States"
4443,1, Yasuda Y.," Yasuda, Y., Department of Applied Chemistry and Chemical Engineering, Yamaguchi University, 2-16-1 Tokiwadai, Ube, Yamaguchi, 755-8611, Japan"
4444,1, Yasuda R.," Yasuda, R., Dept. of Environmental Materials, Nagoya Munic. Indust. Res. Institute, 3-4-41 Rokuban, Atuta-ku, Nagoya 456-0058, Japan"
4445,1, Yasid N.A.," Yasid, N.A., Department of Biochemistry, Faculty of Biotechnology and Biomolecular Sciences, Universiti Putra Malaysia, Serdang, Selangor  43400, Malaysia"
4446,1, Yargeau V.," Yargeau, V., Department of Chemical Engineering, McGill University, 3610 University, Montreal, QC H3 2B2, Canada"
4447,1, Yao Z.," Yao, Z., State Key Laboratory of Atmospheric Boundary Layer Physics and Atmospheric Chemistry, Institute of Atmospherics and Physics, Chinese Academy of Science, Beijing, 100029, China"
4448,1, Yao Z.," Yao, Z., School of Civil and Environmental Engineering, Ningbo University, Ningbo, 315211, China"
4449,1, Yao Y.," Yao, Y., School of Environment, Nanjing Normal University, Nanjing, 210023, China"
4450,1, Yao W.-H.," Yao, W.-H., Department of Materials and Textiles, Oriental Institute of Technology, Pan-Chiao 22064, Taiwan"
4451,1, Yao W.," Yao, W., College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering, Sichuan University, Chengdu 610065, China"
4452,1, Yao T.," Yao, T., Research and Development Division, Sumitomo Metal Industries, Ltd., 1-8 Fuso, Amagasaki-shi, Hyougo, 660, Japan"
4453,1, Yao J.," Yao, J., Key Laboratory for Biomechanics and Mechanobiology of Ministry of Education, International Research Center for Implantable and Interventional Medical Devices, Key Laboratory for Optimal Design and Evaluation Technology of Implantable & Interventional Medical Devices, School of Biological Science and Medical Engineering, Beihang University, Beijing, China"
4454,1, Yao J.," Yao, J., College of Chemical Engineering, Nanjing Forestry University, Jiangsu Co-Innovation Center of Efficient Processing and Utilization of Forest Resources International Innovation Center for Forest Chemicals and Materials, Nanjing, Jiangsu  210037, China"
4455,1, Yao H.," Yao, H., Research Center for Environmental Ecology and Engineering, School of Environmental Ecology and Biological Engineering, Wuhan Institute of Technology, 206 Guanggu 1st road, Wuhan, 430205, China, Key Laboratory of Urban Environment and Health, Institute of Urban Environment, Chinese Academy of Sciences, 1799 Jimei Road, Xiamen, 361021, China, Zhejiang Key Laboratory of Urban Environmental Processes and Pollution Control, Ningbo Urban Environment Observation and Research Station, Chinese Academy of Sciences, 88 Zhongke Road, Ningbo, 315800, China"
4456,1, Yao F.," Yao, F., School of Renewable Natural Resources, Louisiana State University Agricultural Center, Baton Rouge, LA 70803, United States"
4457,1, Yao C.-H.," Yao, C.-H., Graduate Institute of Chinese Medical Science, China Medical University, Taichung, 40402, Taiwan, Department of Biomedical Imaging and Radiological Science, China Medical University, Taichung, 40402, Taiwan"
4458,1, Yao C.," Yao, C., Division of Biomedical Engineering, Hong Kong University of Science and Technology, Hong Kong, Hong Kong"
4459,1, Yannick D.D.," Yannick, D.D., Basic and Applied Sciences Training and Research Unit, Department of Chemistry, University Nangui Abrogoua 02, B.P. 801, Abidjan, 02, Cote d'Ivoire"
4460,1, Yang Z.," Yang, Z., Department of Chemicals and Materials Engineering, University of Auckland, PB 92019, Auckland 1142, New Zealand"
4461,1, Yang Y.-J.," Yang, Y.-J., College of Chemical and Environmental Engineering, China University of Mining and Technology-Beijing, Beijing 100083, China"
4462,1, Yang Y.-C.," Yang, Y.-C., School of Dentistry, College of Oral Medicine, Taipei Medical University, Taipei 110-52, Taiwan"
4463,1, Yang Y.," Yang, Y., State Key Laboratory of Biocatalysis and Enzyme Engineering, Hubei Collaborative Innovation Center for Green Transformation of Bio-Resources, Hubei Key Laboratory of Industrial Biotechnology, School of Life Sciences, Hubei University, Wuhan, 430062, China"
4464,1, Yang Y.," Yang, Y., School of Resources and Environment, Northeast Agricultural University, No.600, Changjiang Road, Harbin, Heilongjiang Province, China"
4465,1, Yang Y.," Yang, Y., School of Resources & Civil Engineering, and Science & Technology Innovation Center of Smart Water and Resource Environment, Northeastern University, Shenyang, 110819, China"
4466,1, Yang Y.," Yang, Y., School of Earth Sciences and Environmental Engineering, Gwangju Institute of Science and Technology (GIST), 61005, Gwangju, South Korea"
4467,1, Yang Y.," Yang, Y., Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao 266101, China"
4468,1, Yang Y.," Yang, Y., Key Laboratory of Eco-Environment of Three Gorges Region, Ministry of Education, Chongqing University, Chongqing, 400044, China"
4469,1, Yang Y.," Yang, Y., Key Laboratory of Bio-based Polymeric Materials Technology and Application of Zhejiang Province, Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences, Ningbo, 315201, China"
4470,1, Yang Y.," Yang, Y., Institute of Polymer Materials, School of Materials Science and Engineering, Nanchang University, Nanchang 330031, China"
4471,1, Yang Y.," Yang, Y., Graduate School of Life and Environmental Sciences, University of Tsukuba, 1-1-1 Tennodai, Tsukuba, Ibaraki 305-8572, Japan"
4472,1, Yang Y.," Yang, Y., College of Resources and Environment, Hunan Agricultural University, Changsha, 410128, China, National Engineering Laboratory for Efficient Utilization of Soil and Fertilizer Resources, Changsha, 410128, China"
4473,1, Yang Y.," Yang, Y., College of Natural Resources and Environment, South China Agricultural University / Key Laboratory of Agro-Environment in the Tropics, Ministry of Agriculture of the People's Republic of China, Guangzhou, 510642, China, Guangdong Provincial Key Laboratory of Eco-Circular Agriculture / Guangdong Engineering Research Center for Modern Eco-agriculture and Circular Agriculture, Guangzhou, 510642, China"
4474,1, Yang Y.," Yang, Y., College of Marine Ecology and Environment, Shanghai Ocean University, No 999, Huchenghuan Road, Shanghai, 201306, China"
4475,1, Yang Y.," Yang, Y., College of Horticulture, Qingdao agricultural University, Qingdao, Shandong  266109, China"
4476,1, Yang X.," Yang, X., The Key Laboratory of Advanced Civil Engineering Materials, Ministry of Education, Tongji University, Shanghai, 200092, China"
4477,1, Yang X.," Yang, X., State Key Laboratory of Polymer Materials Engineering, Polymer Research Institute of Sichuan University, Chengdu 610065, China"
4478,1, Yang X.," Yang, X., State Key Laboratory of Biocatalysis and Enzyme Engineering, Hubei Collaborative Innovation Center for Green Transformation of Bio-Resources, Hubei Key Laboratory of Industrial Biotechnology, School of Life Sciences, Hubei University, Wuhan, 430062, China"
4479,1, Yang X.," Yang, X., School of Civil Engineering and Construction and Environment of Xihua University, Chengdu, 610039, China"
4480,1, Yang X.," Yang, X., International Joint Research Center for Persistent Toxic Substances (IJRC-PTS), Key Laboratory of Microbial Control Technology for Industrial Pollution in Zhejiang Province, College of Environment, Zhejiang University of Technology, Hangzhou, 310014, China"
4481,1, Yang X.," Yang, X., Fujian Provincial Key Laboratory of Soil Environmental Health and Regulation, College of Resources and Environment, Fujian Agriculture and Forestry University, Fuzhou, 350002, China"
4482,1, Yang X.," Yang, X., College of Environment and Ecology, Key Laboratory of the Three Gorges Reservoir Region's Eco-Environment, Ministry of Education, Chongqing University, Chongqing, 400045, China"
4483,1, Yang W.-D.," Yang, W.-D., Shenzhen Key Laboratory of Circular Economy, Shenzhen Graduate School, Peking University, Shenzhen, 518055, China"
4484,1, Yang W.," Yang, W., Department of Public Policy, Nelson Mandela College of Government & Social Sciences, Southern University and A&M College, Baton Rouge, LA  70813, United States"
4485,1, Yang T.-X.," Yang, T.-X., State Key Laboratory of Environmental Criteria and Risk Assessment, Chinese Research Academy of Environmental Sciences, Beijing, 100012, China, State Environmental Protection Key Laboratory of Hazardous Waste Identification and Risk Control, Chinese Research Academy of Environmental Sciences, Beijing, 100012, China"
4486,1, Yang T.," Yang, T., School of Chemistry and Chemical Engineering, Yangzhou University, Jiangsu 225002, China, Provincial Key Laboratories of Environmental Material and Engineering, Jiangsu 225002, China"
4487,1, Yang S.B.," Yang, S.B., Department of Industrial Chemistry, Kon Kuk University, 93-1 Mojin-dong, Kwangjin-ku, Seoul 143-701, South Korea"
4488,1, Yang S.," Yang, S., Biodegradable Polymer Research Center, Department of Chemistry, University of Massachusetts Lowell, Lowell, 01854, Massachusetts, United States"
4489,1, Yang R.," Yang, R., Laboratory for Biomaterials and Drug Delivery, Division of Critical Care Medicine, Boston Children’s Hospital, Harvard Medical School, 300 Longwood Avenue, Boston, MA  02115, United States"
4490,1, Yang Q.," Yang, Q., University of British Columbia, Vancouver, BC  V6P 6G2, Canada"
4491,1, Yang Q.," Yang, Q., School of Water Resources and Environment, China University of Geosciences, Beijing, 100083, China"
4492,1, Yang Q.," Yang, Q., College of Environmental Science and Engineering, Hunan University, Changsha, 410082, China, Key Laboratory of Environmental Biology and Pollution Control (Hunan University), Ministry of Education, Changsha, 410082, China"
4493,1, Yang P.," Yang, P., Qingdao Institute of Bioenergy and Bioprocess Technology, Chinese Academy of Sciences, Qingdao 266101, China, School of Biological Engineering, Dalian Polytechnic University, Dalian 116034, China"
4494,1, Yang N.," Yang, N., Shandong Branch of National Improvement Center for Vegetables, Huang-Huai-Hai Region Scientific Observation and Experimental Station of Vegetables, Ministry of Agriculture and Rural Affairs, Shandong Key Laboratory of Greenhouse Vegetable Biology, Institute of Vegetables and Flowers, Shandong Academy of Agricultural Sciences, Jinan, Shandong  250100, China"
4495,1, Yang M.," Yang, M., State Key Laboratory of Grassland Agro-Ecosystem, College of Ecology, Lanzhou University, Gansu, Lanzhou, 730000, China"
4496,1, Yang M.," Yang, M., College of Land and Environment, Shenyang Agricultural University, Shenyang, Liaoning  110866, China, National Engineering Laboratory for Efficient Utilization of Soil and Fertilizer Resources, Shenyang, Liaoning  110866, China, Key Laboratory of Arable Land Conservation (Northeast China), Ministry of Agriculture, Shenyang, Liaoning  110866, China"
4497,1, Yang M.," Yang, M., CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China"
4498,1, Yang L.," Yang, L., Key Lab of Polymer Materials of Gansu Province, College of Chemistry and Chemical Engineering, Northwest Normal University, Anning East Road 967, Lanzhou, Gansu 730070, China"
4499,1, Yang L.," Yang, L., Biotechnology Research Institute, Chinese Academy of Agricultural Sciences, Beijing, 100081, China"
4500,1, Yang K.K.," Yang, K.K., College of Chemistry, State Key Laboratory of Polymer Materials Engineering, Sichuan University, Chengdu 610064, China"
4501,1, Yang K.," Yang, K., Institute of Metal Research, Chinese Academy of Sciences, 72 Wenhua Road, Shenyang, 110016, China"
4502,1, Yang J.-H.," Yang, J.-H., Key Laboratory of Advanced Technologies of Materials (Ministry of Education), School of Materials Science and Engineering, Southwest Jiaotong University, Chengdu, 610031, China"
4503,1, Yang J.-C.," Yang, J.-C., Center for Teeth Bank and Dental Stem Cell Technology, Taipei Medical University, Taipei 110-52, Taiwan, Schools of Dental Technology, College of Oral Medicine, Taipei Medical University, Taipei 110-52, Taiwan"
4504,1, Yang J.," Yang, J., Research Center for Coastal Environment Engineering Technology of Shandong Province, Yantai Institute of Coastal Zone Research, Chinese Academy of Sciences, Yantai, China"
4505,1, Yang J.," Yang, J., CAS Key Laboratory of Tropical Marine Bio-resources and Ecology, Guangdong Key Laboratory of Marine Materia Medica, South China Sea Institute of Oceanology, Chinese Academy of Sciences, Guangzhou, China, University of the Chinese Academy of Sciences, Beijing, China, Southern Marine Science and Engineering Guangdong Laboratory (Guangzhou), Guangzhou, China"
4506,1, Yang H.-S.," Yang, H.-S., Laboratory of Adhesion and Bio-Composites, Major in Environmental Materials Science, Seoul National University, Seoul 151-921, South Korea"
4507,1, Yang H.," Yang, H., State Key Laboratory of Hydrology-Water Resources and Hydraulic Engineering, Hohai University, Nanjing, 210098, China, Department of Geography and Environmental Science, University of Reading, Whiteknights, Reading, RG6 6AB, United Kingdom"
4508,1, Yang H.," Yang, H., School of Life Sciences, Tianjin Key Laboratory of Function and Application of Biological Macromolecular Structures, College of Precision Instrument and Opto-electronics Engineering, Tianjin University, Tianjin, 300072, China"
4509,1, Yang H.," Yang, H., School of Environmental and Biological Science and Technology, Dalian University of Technology, Dalian 116023, China"
4510,1, Yang H.," Yang, H., Research Center for Bio-Based Chemistry, Korea Research Institute of Chemical Technology (KRICT), Ulsan, 44429, South Korea"
4511,1, Yang H.," Yang, H., Key Laboratory of Polymer Ecomaterials, Chinese Academy of Sciences, Changchun Institute of Applied Chemistry, Changchun, 130022, China"
4512,1, Yang H.," Yang, H., Department of Polymer Science and Engineering, Nanjing University, Ministry of Education, Nanjing 210093, China"
4513,1, Yang H.," Yang, H., College of Life Sciences, Northeast Forestry University, Harbin, 150040, China"
4514,1, Yang G.," Yang, G., Technical Institute of Physics and Chemistry, Chinese Academy of Sciences, Jia 3 Datun Road, Chaoyang District, Beijing 100101, China"
4515,1, Yang G.," Yang, G., Key Laboratory of Advanced Technologies of Materials, Ministry of Education, Southwest Jiaotong University, Chengdu, Sichuan 610031, China"
4516,1, Yang G.," Yang, G., Department of Chemistry, Wuhan University, Wuhan 430072, China"
4517,1, Yang G.," Yang, G., CAS Key Laboratory of Green Process and Engineering, State Key Laboratory of Biochemical Engineering, Institute of Process Engineering, Chinese Academy of Sciences, Beijing, 100190, China, College of Chemical Engineering, University of Chinese Academy of Sciences, Beijing, 100049, China"
4518,1, Yang E.B.," Yang, E.B., School of Chemical and Biomedical Engineering, Nanyang Technological University, Singapore, Singapore"
4519,1, Yang C.," Yang, C., Shanghai Engineering Research Center of Solid Waste Treatment and Resource Recovery, School of Environmental Science & Engineering, Shanghai Jiao Tong, Shanghai, 200240, China"
4520,1, Yang B.," Yang, B., Department of Restorative Dentistry, University of Illinois at Chicago, College of Dentistry, Chicago, IL  60612, United States"
4521,1, Yang B.," Yang, B., College of Environmental and Resource Sciences, Zhejiang University, Hangzhou, 310058, China"
4522,1, Yan Y.," Yan, Y., The Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences, Beijing, 100081, China"
4523,1, Yan Y.," Yan, Y., State Key Laboratory of Pollution Control and Resource Reuse, School of the Environment, Nanjing University, Nanjing, 210023, China"
4524,1, Yan Y.," Yan, Y., Institute of Vegetables and Flowers, Chinese Academy of Agricultural Sciences, Beijing, 100081, China"
4525,1, Yan Y.," Yan, Y., College of Chemical Engineering, Huaqiao University, Xiamen, 361021, China"
4526,1, Yan X.," Yan, X., Research Center for Eco-Environmental Sciences, Chinese Academy of Sciences, Beijing 100085, China"
4527,1, Yan X.," Yan, X., Laboratory of Polymer Composites Engineering, Changchun Institute of Applied Chemistry, Chinese Academy of Sciences, Changchun, Jilin, 130022, China, University of Science and Technology of China, Hefei, Anhui, 230026, China"
4528,1, Yan X.," Yan, X., Key Laboratory of Agricultural Environmental Microbiology, Ministry of Agriculture, College of Life Sciences, Nanjing Agricultural University, Nanjing, Jiangsu  210095, China, Jiangsu Provincial Key Lab for Organic Solid Waste Utilization, Nanjing Agricultural University, Nanjing, Jiangsu  210095, China"
4529,1, Yan X.," Yan, X., Advanced Technology and Materials Corp. Ltd., Beijing 100081, China"
4530,1, Yan W.," Yan, W., School of Chemistry and Materials, Guiyang University, Guiyang, 550005, China"
