,Name of the Author,# of publication,Affiliation
105,5, Zhou J.," Zhou, J., Key Laboratory of Industrial Ecology and Environmental Engineering, Ministry of Education, School of Environmental Science and Technology, Dalian University of Technology, Dalian, 116024, China"
106,5, Zhang Z.," Zhang, Z., College of Natural Resources and Environment, Northwest A&F University, Shaanxi, Yangling, 712100, China"
107,5, Zhang Y.," Zhang, Y., State Key Laboratory of Pollution Control and Resource Reuse, College of Environmental Science and Engineering, Tongji University, Shanghai, 200092, China"
108,5, Zhang M.Q.," Zhang, M.Q., Materials Science Institute, Zhongshan University, Guangzhou 510275, China"
109,5, Yang J.," Yang, J., School of Chemistry, Beihang University, Beijing, 100191, China"
110,5, Yamashita F.," Yamashita, F., Departamento de Ciência e Tecnologia de Alimentos, CCA, Universidade Estadual de Londrina, Brazil"
111,5, Yamamoto N.," Yamamoto, N., Osaka National Research Institute, AIST, Department of Organic Materials, 1-8-31 Midorigaoka, Ikeda, Osaka 563-8577, Japan"
112,5, Xing D.," Xing, D., State Key Laboratory of Urban Water Resource and Environment, School of Environment, Harbin Institute of Technology, P.O. Box 2614, 73 Huanghe Road, Nangang District, Heilongjiang, Harbin, 150090, China"
113,5, Witholt B.," Witholt, B., Institute of Biotechnology, ETH Hönggerberg HPT, CH-8093 Zürich, Switzerland"
114,5, Wang J.," Wang, J., Key Laboratory of Industrial Ecology and Environmental Engineering, Ministry of Education, School of Environmental Science and Technology, Dalian University of Technology, Dalian, 116024, China"
115,5, Wagner W.R.," Wagner, W.R., McGowan Institute for Regenerative Medicine, University of Pittsburgh, United States, Dept. of Surgery, University of Pittsburgh, United States, Dept. of Bioengineering, University of Pittsburgh, United States, Dept. of Chemical Engineering, University of Pittsburgh, Pittsburgh, PA  15219, United States"
116,5, Vázquez A.," Vázquez, A., Polymer and Composite Material Group, Institute of Engineering in Technology and Science (INTECIN), University of Buenos Aires, Las Heras 2214, C1127AAR Buenos Aires, Argentina"
117,5, Tribedi P.," Tribedi, P., Department of Microbiology, University of Calcutta, 33 B. C. Road, Kolkata, 700019, India, Department of Biotechnology, The Neotia University, Sarisha, West Bengal  743368, India"
118,5, Tian H.," Tian, H., Beijing Key Laboratory of Quality Evaluation Technology for Hygiene and Safety of Plastics, School of Chemical and Material Engineering, Beijing Technology and Business University, Beijing, 100048, China"
119,5, Sun X.S.," Sun, X.S., Department of Grain Science, Kansas State University, Manhattan, KS 66506, United States"
120,5, Srinivasan G.," Srinivasan, G., Department Of Horticulture, Iowa State University, Ames, IA, United States"
121,5, Sintim H.Y.," Sintim, H.Y., Department of Crop & Soil Sciences, University of Georgia, Tifton, GA  31793, United States"
122,5, Silvestre F.," Silvestre, F., Laboratoire de Chimie Agro-Industrielle, UMR 1010 INRA/INP-ENSIACET, 118, Route de Narbonne, F-31077 Toulouse Cedex 04, France"
123,5, Scandola M.," Scandola, M., Università di Bologna, Dipartimento di Chimica G. Ciamician, via Selmi 2, 40126 Bologna, Italy, Centro di Studio per la Fisica delle Macromolecole del CNR, via Selmi 2, 40126 Bologna, Italy"
124,5, Sayyed R.Z.," Sayyed, R.Z., Department of Microbiology, PSGVP Mandal’s SIP Arts, G B Patel Science, and STKVS Commerce College, Shahada, 425409, India"
125,5, Santana R.M.C.," Santana, R.M.C., Departamento de Materiais, Universidade Federal do Rio Grande do Sul - UFRGS, RS, Porto Alegre, Brazil"
126,5, Rong M.Z.," Rong, M.Z., Materials Science Institute, Zhongshan University, Guangzhou 510275, China"
127,5, Reis R.L.," Reis, R.L., Department of Polymer Engineering, University of Minho, Campus de Azurém, 4800-058 Guimarães, Portugal, 3B's Research Group - Biomaterials, Biodegradables and Biomimetics, University of Minho, Campus de Azurém, 4800-058 Guimarães, Portugal"
128,5, Rao K.K.," Rao, K.K., Regional Research Laboratory (CSIR), Bhubaneswar, India"
129,5, Otaigbe J.U.," Otaigbe, J.U., School of Polymers and High Performance Materials, The University of Southern Mississippi, Hattiesburg, MS 39406-0076, United States"
130,5, Orts W.J.," Orts, W.J., ARS US Department of Agriculture, Bioproducts Research Unit, WRRC, Albany, CA  94710, United States"
131,5, Oh D.X.," Oh, D.X., Research Center for Bio-Based Chemistry, Korea Research Institute of Chemical Technology (KRICT), Ulsan, 44429, South Korea, Advanced Materials and Chemical Engineering, University of Science and Technology (UST), Daejeon, 34113, South Korea"
132,5, Nayak S.K.," Nayak, S.K., Laboratory for Advanced Research in Polymeric Materials (LARPM), Central Institute of Plastics Engineering and Technology (CIPET), Patia, Bhubaneswar, Orissa 751024, India"
133,5, Muñoz R.," Muñoz, R., Department of Chemical Engineering and Environmental Technology, School of Industrial Engineering, University of Valladolid, Dr. Mergelina, s/n, Valladolid, 47011, Spain, Institute of Sustainable Processes, Dr. Mergelina s/n, Valladolid, 47011, Spain"
134,5, Morita T.," Morita, T., Research Institute for Innovation in Sustainable Chemistry, National Institute of Advanced Industrial Science and Technology (AIST), Tsukuba, Japan"
135,5, Mohan S.V.," Mohan, S.V., Bioengineering and Environmental Sciences (BEES), CSIR-Indian Institute of Chemical Technology (CSIR-IICT), Hyderabad, 500 007, India"
136,5, Mirończuk A.M.," Mirończuk, A.M., Wrocław University of Environmental and Life Sciences, Department of Biotechnology and Food Microbiology, Chełmońskiego 37, Wrocław, 51-630, Poland"
137,5, McCabe K.G.," McCabe, K.G., Department Of Horticulture, Iowa State University, Ames, IA, United States"
138,5, Mattoso L.H.C.," Mattoso, L.H.C., Nanotechnology National Laboratory for Agriculture (LNNA), Embrapa Instrumentation, PO Box 741, São Carlos, SP, Brazil"
139,5, Martins-Franchetti S.M.," Martins-Franchetti, S.M., Department of Biochemistry and Microbiology, Institute of Biological Sciences, UNESP-São Paulo State University, Av. 24-A, no. 1515, Bela Vista, CP 199, Rio Claro, SP  13506-900, Brazil"
140,5, Lu H.," Lu, H., Key Laboratory of Industrial Ecology and Environmental Engineering, Ministry of Education, School of Environmental Science and Technology, Dalian University of Technology, Dalian, 116024, China"
141,5, Li S.," Li, S., Department of Interface, Physicochemistry and Polymers, European Institute of Membranes, UMR CNRS 5635, University Montpellier 2, Montpellier, 34095, France"
142,5, Klamczynski A.," Klamczynski, A., USDA, ARS, PWA, Albany, CA  94710, United States"
143,5, Kaplan D.L.," Kaplan, D.L., Department of Biomedical Engineering, Tufts University, Medford, MA, United States"
144,5, Jawaid M.," Jawaid, M., Laboratory of Biocomposite Technology, Institute of Tropical Forestry and Forest Products (INTROP), Universiti Putra Malaysia, UPM, SerdangSelangor  43400, Malaysia"
145,5, Jane J.," Jane, J., Department of Food Science and Human Nutrition, Iowa State University of Science and Technology, Ames, IA 50011, United States"
146,5, Ismail H.," Ismail, H., School of Materials and Mineral Resources Engineering, Universiti Sains Malaysia, Nibong Tebal, Penang  14300, Malaysia"
147,5, Ike M.," Ike, M., Dept. of Environmental Engineering, Graduate School of Engineering, Osaka University, 2-1, Yamada-oka, Suita, Osaka 565-0871, Japan"
148,5, Iannace S.," Iannace, S., Institute of Composite and Biomedical Materials, National Research Council (IMCB-CNR), Piazz.le Tecchio 80, 80125, Naples, Italy"
149,5, Hedenqvist M.S.," Hedenqvist, M.S., Fibre and Polymer Technology, KTH Royal Institute of Technology, Stockholm, SE  100 44, Sweden"
150,5, Han L.," Han, L., Key Laboratory of Polymer Ecomaterials, Changchun Institute of Applied Chemistry, Chinese Academy of Sciences, Changchun, 130022, China"
151,5, Halley P.," Halley, P., School of Chemical Engineering, The University of Queensland, Level 3, Don Nicklin Building (74), St Lucia, QLD  4072, Australia"
152,5, Grewell D.," Grewell, D., Department Of Agricultural and Biosystems Engineering, Iowa State University, Ames, IA, United States"
153,5, Graves W.R.," Graves, W.R., Department Of Horticulture, Iowa State University, Ames, IA, United States"
154,5, Ghimire S.," Ghimire, S., Department of Extension, Tolland County Extension Center, University of Connecticut, Vernon, CT  06066, United States"
155,5, Fujita M.," Fujita, M., Dept. of Environmental Engineering, Graduate School of Engineering, Osaka University, 2-1, Yamada-oka, Suita, Osaka 565-0871, Japan"
156,5, Drzal L.T.," Drzal, L.T., Composite Materials and Structures Center, 2100 Engineering Building, Michigan State University, East Lansing, MI 48824, United States"
157,5, Cyras V.P.," Cyras, V.P., Instituto de Investigaciones en Ciencia y Tecnología de Materiales (INTEMA), Facultad de Ingeniería, Universidad Nacional de Mar del Plata—Consejo de Investigaciones Científicas y Técnicas (CONICET), Mar del Plata, 7600, Argentina"
158,5, Cunha A.M.," Cunha, A.M., IPC-Institute for Polymers and Composites, Department of Polymer Engineering, University of Minho, 4800-058 Guimarães, Portugal"
159,5, Corvini P.F.-X.," Corvini, P.F.-X., Institute for Ecopreneurship, School of Life Sciences, University of Applied Sciences and Arts Northwestern Switzerland, Gründenstrasse 40, Muttenz, CH-4132, Switzerland"
160,5, Chinaglia S.," Chinaglia, S., Novamont S.p.A., via Fauser 8, Novara, 28100, Italy"
161,5, Chen J.," Chen, J., State Key Laboratory of Pollution Control and Resource Reuse, College of Environmental Science and Engineering, Tongji University, Shanghai, 200092, China"
162,5, Bardi M.A.G.," Bardi, M.A.G., Department of Materials Engineering, Federal University of Campina Grande, Campina Grande, PB  58429-140, Brazil"
163,5, Avérous L.," Avérous, L., BioTeam/ICPEES-ECPM, UMR CNRS 7515, Université de Strasbourg, 25 rue Becquerel, Cedex 2, Strasbourg, 67087, France"
164,5, Avella M.," Avella, M., Institute for Polymers, Composites and Biomaterials - National Research Council of Italy, Via Campi Flegrei, 34, Pozzuoli (NA), 80078, Italy"
165,5, Arvanitoyannis I.," Arvanitoyannis, I., Aristotelian Univ. of Thessaloniki, Faculty of Agriculture, Dept. of Food and Science Technology, 540 06 Thessaloniki, Greece"
166,5, Alvarez V.A.," Alvarez, V.A., Facultad de Ingeniería, Grupo de Materiales Compuestos Termoplásticos (CoMP), Instituto de Investigaciones en Ciencia Y Tecnología de Materiales (INTEMA), Universidad Nacional de Mar del Plata (UNMdP) Y Consejo Nacional de Investigaciones Científicas Y Técnicas (CONICET), Avenida Colón 10850Mar del Plata, Buenos Aires, 7600, Argentina"
167,5, Ali N.," Ali, N., Department of Microbiology, Quaid-i-Azam University, 3rd Avenue, Islamabad, 45320, Pakistan"
